,question,cctrans.types,cctrans.extent,cctrans.transformation,cctrans.temporalEx
0,What is the slope in Utrecht,"[{'type': ['field'], 'id': '0', 'keyword': 'slope', 'measureLevel': 'ratio'}]",['Utrecht'],"[{'before': ['0'], 'after': ['0_u']}]",
1,What is the Euclidean distance to recreational sites in Utrecht,"[{'type': ['object'], 'id': '0', 'keyword': 'recreational sites'}, {'type': ['field'], 'id': '1', 'keyword': 'euclidean distance', 'measureLevel': 'ratio'}]",['Utrecht'],"[{'before': ['0'], 'after': ['1']}]",
2,What is the Euclidean distance to schools in Utrecht,"[{'type': ['object'], 'id': '0', 'keyword': 'schools'}, {'type': ['field'], 'id': '1', 'keyword': 'euclidean distance', 'measureLevel': 'ratio'}]",['Utrecht'],"[{'before': ['0'], 'after': ['1']}]",
3,What is the least cost route from school to the closest road intersection based on slope and land use in Utrecht,"[{'type': ['object'], 'id': '0', 'keyword': 'school'}, {'type': ['object'], 'id': '1', 'keyword': 'road intersection'}, {'type': ['field'], 'id': '2', 'keyword': 'slope'}, {'type': ['field'], 'id': '3', 'keyword': 'land use'}, {'type': ['field'], 'id': '4', 'keyword': 'least cost route', 'measureLevel': 'nominal'}, {'type': ['field'], 'id': '5', 'keyword': 'cost surface', 'measureLevel': 'ratio'}]",['Utrecht'],"[{'before': ['2', '3'], 'after': ['5']}, {'before': ['0', '1', '5'], 'after': ['4']}]",
4,What is the interpolated surface of ozone concentration in California,"[{'type': ['field'], 'id': '0', 'keyword': 'ozone concentration', 'measureLevel': 'ratio'}, {'type': ['field'], 'id': '1', 'keyword': 'interpolated surface', 'measureLevel': 'ratio'}]",['California'],"[{'before': ['0'], 'after': ['1']}]",
5,"What is the shortest network-based path through the Palace of Fine Arts, Ferry Building and de Young Meseum in San Francisco","[{'type': ['placename'], 'id': '0', 'keyword': 'Palace of Fine Arts'}, {'type': ['placename'], 'id': '1', 'keyword': 'Ferry Building'}, {'type': ['placename'], 'id': '2', 'keyword': 'de Young Meseum'}, {'type': ['network'], 'id': '3', 'keyword': 'shortest network based path'}]",['San Francisco'],"[{'before': ['0', '1', '2'], 'after': ['3']}]",
6,What are the four fire stations with shortest network-based paths to 1202 Twin Peaks Blvd in San Francisco,"[{'type': ['object'], 'id': '0', 'keyword': 'fire stations'}, {'type': ['placename'], 'id': '1', 'keyword': '1202 Twin Peaks Blvd'}, {'type': ['network'], 'id': '2', 'keyword': 'shortest network based paths'}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}]",['San Francisco'],"[{'before': ['0', '1', '3'], 'after': ['2']}, {'before': ['2'], 'after': ['1_u']}]",
7,What are the four fire stations within 3 minutes of travel time from a fire in San Francisco,"[{'type': ['event'], 'id': '0', 'keyword': 'fire'}, {'type': ['network'], 'id': '1', 'keyword': 'travel time'}, {'type': ['serviceObj'], 'id': '2', 'keyword': ''}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}, {'type': ['object'], 'id': '4', 'keyword': 'fire stations'}]",['San Francisco'],"[{'before': ['0', '3'], 'after': ['2']}, {'before': ['4', '2'], 'after': ['4_u']}]",
8,"What areas are within 3 minutes, 5 minutes, and 10 minutes from six warehouses in Paris","[{'type': ['object'], 'id': '0', 'keyword': 'warehouses'}, {'type': ['serviceObj'], 'id': '1', 'keyword': ''}, {'type': ['network', 'object'], 'id': '2', 'keyword': 'road data'}, {'type': ['location'], 'id': '3', 'keyword': ''}]",['Paris'],"[{'before': ['0', '2'], 'after': ['1']}, {'before': ['1'], 'after': ['3']}]",
9,What is the number of stores for each warehouse service area in Paris,"[{'type': ['object'], 'id': '0', 'keyword': 'warehouse service area'}, {'type': ['object'], 'id': '1', 'keyword': 'stores'}, {'type': ['conamount'], 'id': '2', 'keyword': 'number', 'measureLevel': 'count'}]",['Paris'],"[{'before': ['1', '0'], 'after': ['2']}]",
