시도,중분류,시군구,소분류,읍면동,영문 표기
서울특별시,,,,,Seoul
서울특별시,11010,종로구,,,Jongno-gu
서울특별시,11010,종로구,11010720,청운효자동,Cheongunhyoja-dong
서울특별시,11010,종로구,11010530,사직동,Sajik-dong
서울특별시,11010,종로구,11010540,삼청동,Samcheong-dong
서울특별시,11010,종로구,11010550,부암동,Buam-dong
서울특별시,11010,종로구,11010560,평창동,Pyeongchang-dong
서울특별시,11010,종로구,11010570,무악동,Muak-dong
서울특별시,11010,종로구,11010580,교남동,Gyonam-dong
서울특별시,11010,종로구,11010600,가회동,Gahoe-dong
서울특별시,11010,종로구,11010610,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong
서울특별시,11010,종로구,11010630,종로5.6가동,Jongno 5.6(oryuk)-ga-dong
서울특별시,11010,종로구,11010640,이화동,Ihwa-dong
서울특별시,11010,종로구,11010730,혜화동,Hyehwa-dong
서울특별시,11010,종로구,11010670,창신1동,Changsin 1(il)-dong
서울특별시,11010,종로구,11010680,창신2동,Changsin 2(i)-dong
서울특별시,11010,종로구,11010690,창신3동,Changsin 3(sam)-dong
서울특별시,11010,종로구,11010700,숭인1동,Sungin 1(il)-dong
서울특별시,11010,종로구,11010710,숭인2동,Sungin 2(i)-dong
서울특별시,11020,중구,,,Jung-gu
서울특별시,11020,중구,11020520,소공동,Sogong-dong
서울특별시,11020,중구,11020540,회현동,Hoehyeon-dong
서울특별시,11020,중구,11020550,명동,Myeong-dong
서울특별시,11020,중구,11020570,필동,Pil-dong
서울특별시,11020,중구,11020580,장충동,Jangchung-dong
서울특별시,11020,중구,11020590,광희동,Gwanghui-dong 
서울특별시,11020,중구,11020600,을지로동,Euljiro-dong
서울특별시,11020,중구,11020690,신당동,Sindang-dong
서울특별시,11020,중구,11020700,다산동,Dasan-dong
서울특별시,11020,중구,11020710,약수동,Yaksu-dong
서울특별시,11020,중구,11020720,청구동,Cheonggu-dong
서울특별시,11020,중구,11020650,신당5동,Sindang 5(o)-dong
서울특별시,11020,중구,11020730,동화동,Donghwa-dong
서울특별시,11020,중구,11020670,황학동,Hwanghak-dong
서울특별시,11020,중구,11020680,중림동,Jungnim-dong
서울특별시,11030,용산구,,,Yongsan-gu
서울특별시,11030,용산구,11030510,후암동,Huam-dong
서울특별시,11030,용산구,11030520,용산2가동,Yongsan 2(i)-ga-dong
서울특별시,11030,용산구,11030530,남영동,Namyeong-dong
서울특별시,11030,용산구,11030710,청파동,Cheongpa-dong
서울특별시,11030,용산구,11030720,원효로1동,Wonhyoro 1(il)-dong
서울특별시,11030,용산구,11030570,원효로2동,Wonhyoro 2(i)-dong
서울특별시,11030,용산구,11030580,효창동,Hyochang-dong
서울특별시,11030,용산구,11030590,용문동,Yongmun-dong
서울특별시,11030,용산구,11030730,한강로동,Hangangno-dong
서울특별시,11030,용산구,11030630,이촌1동,Ichon 1(il)-dong
서울특별시,11030,용산구,11030640,이촌2동,Ichon 2(i)-dong
서울특별시,11030,용산구,11030650,이태원1동,Itaewon 1(il)-dong
서울특별시,11030,용산구,11030660,이태원2동,Itaewon 2(i)-dong
서울특별시,11030,용산구,11030740,한남동,Hannam-dong
서울특별시,11030,용산구,11030690,서빙고동,Seobinggo-dong
서울특별시,11030,용산구,11030700,보광동,Bogwang-dong
서울특별시,11040,성동구,,,Seongdong-gu
서울특별시,11040,성동구,11040520,왕십리2동,Wangsimni 2(i)-dong
서울특별시,11040,성동구,11040710,왕십리도선동,WangsimniDoseon-dong
서울특별시,11040,성동구,11040540,마장동,Majang-dong
서울특별시,11040,성동구,11040550,사근동,Sageun-dong
서울특별시,11040,성동구,11040560,행당1동,Haengdang 1(il)-dong
서울특별시,11040,성동구,11040570,행당2동,Haengdang 2(i)-dong
서울특별시,11040,성동구,11040580,응봉동,Eungbong-dong
서울특별시,11040,성동구,11040590,금호1가동,Geumho 1(il)-ga-dong
서울특별시,11040,성동구,11040720,금호2.3가동,Geumho 2.3(isam)-ga-dong
서울특별시,11040,성동구,11040620,금호4가동,Geumho 4(sa)-ga-dong
서울특별시,11040,성동구,11040730,옥수동,Oksu-dong
서울특별시,11040,성동구,11040650,성수1가1동,Seongsu 1(il)-ga-1(il)-dong
서울특별시,11040,성동구,11040660,성수1가2동,Seongsu 1(il)-ga-2(i)-dong
서울특별시,11040,성동구,11040670,성수2가1동,Seongsu 2(i)-ga-1(il)-dong
서울특별시,11040,성동구,11040680,성수2가3동,Seongsu 2(i)-ga-3(sam)-dong
서울특별시,11040,성동구,11040690,송정동,Songjeong-dong
서울특별시,11040,성동구,11040700,용답동,Yongdap-dong
서울특별시,11050,광진구,,,Gwangjin-gu
서울특별시,11050,광진구,11050530,화양동,Hwayang-dong
서울특별시,11050,광진구,11050540,군자동,Gunja-dong
서울특별시,11050,광진구,11050550,중곡1동,Junggok 1(il)-dong
서울특별시,11050,광진구,11050560,중곡2동,Junggok 2(i)-dong
서울특별시,11050,광진구,11050570,중곡3동,Junggok 3(sam)-dong
서울특별시,11050,광진구,11050580,중곡4동,Junggok 4(sa)-dong
서울특별시,11050,광진구,11050590,능동,Neung-dong
서울특별시,11050,광진구,11050630,광장동,Gwangjang-dong
서울특별시,11050,광진구,11050640,자양1동,Jayang 1(il)-dong
서울특별시,11050,광진구,11050650,자양2동,Jayang 2(i)-dong
서울특별시,11050,광진구,11050660,자양3동,Jayang 3(sam)-dong
서울특별시,11050,광진구,11050670,자양4동,Jayang 4(sa)-dong
서울특별시,11050,광진구,11050600,구의1동,Guui 1(il)-dong
서울특별시,11050,광진구,11050610,구의2동,Guui 2(i)-dong
서울특별시,11050,광진구,11050620,구의3동,Guui 3(sam)-dong
서울특별시,11060,동대문구,,,Dongdaemun-gu
서울특별시,11060,동대문구,11060810,용신동,Yongsin-dong
서울특별시,11060,동대문구,11060820,제기동,Jegi-dong
서울특별시,11060,동대문구,11060830,전농1동,Jeonnong 1(il)-dong
서울특별시,11060,동대문구,11060840,전농2동,Jeonnong 2(i)-dong
서울특별시,11060,동대문구,11060910,답십리1동,Dapsimni 1(il)-dong
