,시도,중분류,시군구,소분류,읍면동,영문 표기,지명 갯수
1998,강원도,32070.0,삼척시,32070350.0,가곡면,Gagok-myeon in Samcheok-si,2
2264,충청북도,33580.0,단양군,33580330.0,가곡면,Gagok-myeon in Danyang-gun,2
3393,경상북도,37590.0,칠곡군,37590330.0,가산면,Gasan-myeon in Chilgok-gun,2
1831,경기도,31270.0,포천시,31270330.0,가산면,Gasan-myeon in Pocheon-si,2
1109,대전광역시,25010.0,동구,25010630.0,가양1동,Gayang 1(il)-dong in Dong-gu in Daejeon,3
268,서울특별시,11160.0,강서구,11160640.0,가양1동,Gayang 1(il)-dong in Gangseo-gu in Seoul,3
269,서울특별시,11160.0,강서구,11160650.0,가양2동,Gayang 2(i)-dong in Gangseo-gu in Seoul,3
1110,대전광역시,25010.0,동구,25010640.0,가양2동,Gayang 2(i)-dong in Dong-gu in Daejeon,3
2605,전라북도,35040.0,정읍시,35040400.0,감곡면,Gamgok-myeon in Jeongeup-si,2
2259,충청북도,33570.0,음성군,33570370.0,감곡면,Gamgok-myeon in Eumseong-gun,2
3399,경상북도,37600.0,예천군,37600340.0,감천면,Gamcheon-myeon in Yecheon-gun,2
3145,경상북도,37030.0,김천시,37030380.0,감천면,Gamcheon-myeon in Gimcheon-si,2
3183,경상북도,37040.0,안동시,37040630.0,강남동,Gangnam-dong in Andong-si,2
1912,강원도,32010.0,춘천시,32010680.0,강남동,Gangnam-dong in Chuncheon-si,2
1959,강원도,32030.0,강릉시,32030620.0,강남동,Gangnam-dong in Gangneung-si,2
626,부산광역시,21120.0,강서구,21120530.0,강동동,Gangdong-dong in Gangseo-gu in Busan,3
1232,울산광역시,26040.0,북구,26040540.0,강동동,Gangdong-dong in Buk-gu in Ulsan,3
1945,강원도,32030.0,강릉시,32030340.0,강동면,Gangdong-myeon in Gangneung-si,2
3123,경상북도,37020.0,경주시,37020370.0,강동면,Gangdong-myeon in Gyeongju-si,2
758,대구광역시,22050.0,북구,22050700.0,검단동,Geomdan-dong in Buk-gu in Daegu,3
965,인천광역시,23080.0,서구,23080800.0,검단동,Geomdan-dong in Seo-gu in Incheon,3
1467,경기도,31070.0,평택시,31070330.0,고덕면,Godeok-myeon in Pyeongtaek-si,2
2484,충청남도,34570.0,예산군,34570380.0,고덕면,Godeok-myeon in Yesan-gun,2
1343,경기도,31021.0,수정구,31021650.0,고등동,Godeung-dong in Sujeong-gu,2
1305,경기도,31013.0,팔달구,31013690.0,고등동,Godeung-dong in Paldal-gu,2
1986,강원도,32060.0,속초시,32060560.0,교동,Gyo-dong in Sokcho-si,2
2001,강원도,32070.0,삼척시,32070530.0,교동,Gyo-dong in Samcheok-si,2
2184,충청북도,33030.0,제천시,33030510.0,교동,Gyo-dong in Jecheon-si,2
1899,강원도,32010.0,춘천시,32010520.0,교동,Gyo-dong in Chuncheon-si,2
3596,경상남도,38080.0,밀양시,38080530.0,교동,Gyo-dong in Miryang-si,2
763,대구광역시,22050.0,북구,22050790.0,구암동,Guam-dong in Buk-gu in Daegu,3
2556,전라북도,35020.0,군산시,35020670.0,구암동,Guam-dong in Gunsan-si,2
1858,경기도,31550.0,연천군,31550310.0,군남면,Gunnam-myeon in Yeoncheon-gun,2
3026,전라남도,36640.0,영광군,36640350.0,군남면,Gunnam-myeon in Yeonggwang-gun,2
1829,경기도,31270.0,포천시,31270310.0,군내면,Gunnae-myeon in Pocheon-si,2
3057,전라남도,36670.0,진도군,36670310.0,군내면,Gunnae-myeon in Jindo-gun,3
2214,충청북도,33530.0,옥천군,33530380.0,군북면,Gunbuk-myeon in Okcheon-gun,2
3648,경상남도,38520.0,함안군,38520320.0,군북면,Gunbuk-myeon in Haman-gun,2
2414,충청남도,34510.0,금산군,34510340.0,군북면,Gunbuk-myeon in Geumsan-gun,2
3025,전라남도,36640.0,영광군,36640340.0,군서면,Gunseo-myeon in Yeonggwang-gun,2
2994,전라남도,36610.0,영암군,36610360.0,군서면,Gunseo-myeon in Yeongam-gun,2
2213,충청북도,33530.0,옥천군,33530370.0,군서면,Gunseo-myeon in Okcheon-gun,2
1618,경기도,31150.0,시흥시,31150680.0,군자동,Gunja-dong in Siheung-si,2
72,서울특별시,11050.0,광진구,11050540.0,군자동,Gunja-dong in Gwangjin-gu,3
2060,강원도,32560.0,철원군,32560320.0,근남면,Geunnam-myeon in Cheorwon-gun,2
3424,경상북도,37620.0,울진군,37620330.0,근남면,Geunnam-myeon in Uljin-gun,3
1376,경기도,31023.0,분당구,31023710.0,금곡동,Geumgok-dong in Bundang-gu,2
1296,경기도,31012.0,권선구,31012650.0,금곡동,Geumgok-dong in Gwonseon-gu,2
1599,경기도,31130.0,남양주시,31130530.0,금곡동,Geumgok-dong in Namyangju-si,2
560,부산광역시,21080.0,북구,21080540.0,금곡동,Geumgok-dong in Buk-gu in Busan,3
1257,세종특별자치시,29010.0,세종특별자치시,29010340.0,금남면,Geumnam-myeon in Sejong City,2
3703,경상남도,38560.0,하동군,38560360.0,금남면,Geumnam-myeon in Hadong-gun,2
2466,충청남도,34560.0,홍성군,34560320.0,금마면,Geumma-myeon in Hongseong-gun,2
2575,전라북도,35030.0,익산시,35030400.0,금마면,Geumma-myeon in Iksan-si,2
3509,경상남도,38030.0,진주시,38030400.0,금산면,Geumsan-myeon in Jinju-si,3
2656,전라북도,35060.0,김제시,35060430.0,금산면,Geumsan-myeon in Gimje-si,2
2909,전라남도,36550.0,고흥군,36550330.0,금산면,Geumsan-myeon in Goheung-gun,2
2411,충청남도,34510.0,금산군,34510310.0,금성면,Geumseong-myeon in Geumsan-gun,2
3709,경상남도,38560.0,하동군,38560370.0,금성면,Geumseong-myeon in Hadong-gun,2
2878,전라남도,36510.0,담양군,36510370.0,금성면,Geumseong-myeon in Damyang-gun,2
3320,경상북도,37520.0,의성군,37520370.0,금성면,Geumseong-myeon in Uiseong-gun,2
2177,충청북도,33030.0,제천시,33030310.0,금성면,Geumseong-myeon in Jecheon-si,2
2846,전라남도,36040.0,나주시,36040390.0,금천면,Geumcheon-myeon in Naju-si,2
3365,경상북도,37560.0,청도군,37560360.0,금천면,Geumcheon-myeon in Cheongdo-gun,2
2868,전라남도,36060.0,광양시,36060560.0,금호동,Geumho-dong in Gwangyang-si,2
1985,강원도,32060.0,속초시,32060540.0,금호동,Geumho-dong in Sokcho-si,2
2442,충청남도,34540.0,서천군,34540330.0,기산면,Gisan-myeon in Seocheon-gun,2
3395,경상북도,37590.0,칠곡군,37590370.0,기산면,Gisan-myeon in Chilgok-gun,2
2031,강원도,32530.0,영월군,32530340.0,남면,Nam-myeon in Yeongwol-gun,2
